# downloaded from http://dustpedia.astro.noa.gr
# name,RA,DEC,dist_best,vhelio,HIflux,HIfluxerr,MHI,MHIerr,logMHI,logMHI_err,HI_ref,Flag
NGC4612,190.38645,7.31485,16.3681557253,1874.16024444,1.1699999570846555,0.0,7.397710729911473E7,0.0,7.869097345246555,0.0,Boselli2014,1.0
NGC4618,190.3866,41.14891,6.72976762686,536.473374873,84.77999999999999,2.4499999999999997,9.061613875909348E8,2.6186546350528445E7,8.957205552531468,0.012553878532154172,Springob2005,0.0
NGC4621,190.5096,11.64702,14.7231325251,437.570462187,0.7800000000000001,nan,3.9903137819213115E7,nan,7.6010070481676495,nan,Courtois2009,0.0
NGC4624,191.27475,3.05518,10.7646537437,895.121310775,22.29999923706055,0.0,6.098415082588267E8,0.0,8.785216980859566,0.0,Boselli2014,1.0
NGC4625,190.4697,41.27384,8.2,608.402765918,30.0,nan,4.760591999999999E8,nan,8.6776609624572,nan,Huchtmeier1989,0.0
NGC4627,190.49925,32.57361,9.37562270453,543.466510114,43.248617513400006,nan,8.971901076984111E8,nan,8.952884476462781,nan,Casasola2004,0.0
NGC4629,190.6362,-1.35051,32.9609807718,1116.90359983,29.200000762939453,nan,7.486780793313705E9,nan,9.874295117534619,nan,Boselli2014,0.0
NGC4630,190.62975,3.9599,15.7761110341,731.282142285,7.53000020980835,0.079999998,4.4228977540103346E8,4698961.521291592,8.645706899717247,0.004614191779422683,Haynes2018,0.0
NGC4631,190.53285,32.54239,7.34514164936,615.395901158,960.694506771133,0.29166879084812225,1.2232005321550434E10,3713661.514485721,10.087497661344704,1.3185268568349784E-4,Haynes2018,3.0
NGC4633,190.6554,14.35694,16.2929563193,297.707757378,10.489999771118162,0.06999999999999999,6.571844337492371E8,4385406.249956413,8.817687268066624,0.002898099692719036,Haynes2018,0.0
NGC4636,190.707,2.68762,14.0604675841,924.092871057,14.832517916700002,nan,6.92032373793533E8,nan,8.840126411553609,nan,Bettoni2003,0.0
NGC4638,190.69755,11.44244,17.2186881698,1161.85946923,1.3300000429153442,0.0,9.30601568148002E7,0.0,7.968763780023435,0.0,Boselli2014,1.0
NGC4639,190.71825,13.25704,25.3513027831,988.030107541,18.999999999999996,0.09000000299999998,2.8818154707570553E9,1.3650705403911129E7,9.459666168498204,0.0020571998560612315,Haynes2018,0.0
NGC4643,190.8339,1.97828,11.9674072052,1327.69667636,1.9200004780880582,0.11000002884915366,6.4895334771860525E7,3717961.9509279463,7.812213477144558,0.02490873194472254,Haynes2018,3.0
NGC4647,190.8855,11.58221,17.2981602494,1395.62999013,7.866760731520482,0.11009461296453889,5.555303319165603E8,7774597.346269618,8.74470777637204,0.006078309308697349,Haynes2018,3.0
NGC4649,190.9149,11.55259,17.0608189448,1106.91340663,3.599999904632568,0.0,2.472943764388688E8,0.0,8.39321424046426,0.0,Boselli2014,1.0
NGC4651,190.92765,16.39339,23.2273773486,799.21545605,62.870131336399794,0.1657384843921576,8.004914940773857E9,2.110258798996659E7,9.903356721520924,0.0011448914593277237,Haynes2018,3.0
NGC4654,190.98585,13.12657,13.8675493967,1040.9781315,54.709710041516104,0.118957660243241,2.482995080330868E9,5398882.31928468,9.394975859068348,9.443065406635753E-4,Haynes2018,3.0
NGC4656,190.9896,32.17016,5.24807782931,603.407669317,392.703058202198,0.20405866614973525,2.552565061021496E9,1326378.8291466364,9.406976820409298,2.256706663636976E-4,Haynes2018,3.0
NGC4660,191.13315,11.19053,14.8593540735,1093.92615547,3.5999999046325684,0.0,1.8759201782851073E8,0.0,8.273214354902406,0.0,Boselli2014,1.0
NGC4666,191.286,-0.46186,14.588143756,1516.51132785,81.1,14.56844589,4.073173652447816E9,7.316869292344133E8,9.609932925846422,0.07887052539080575,Springob2005,0.0
NGC4668,191.3832,-0.53512,15.5596531726,1621.40835646,11.899999999999999,1.2240525739999997,6.799215227620368E8,6.993778910798325E7,8.83245878888531,0.04483076753996773,Springob2005,0.0
NGC4684,191.82285,-2.72753,13.3659529348,1584.44464162,1.5599999427795412,0.0,6.577130218992602E7,0.0,7.818036440434606,0.0,Boselli2014,1.0
