#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sig_SFR   Sig_star      Sig_mol      Sig_mol_4p35   Sig_mol_N12   Sig_mol_B13      F_CO_60pc      F_CO_150pc   Sig_mol_combo
NGC1365          bar    7256  1.000000  1.000000 10.608142 10.217455  0.00564345  136.6799   10.9826   15.0652   17.8168       NaN       NaN   53.4706   10.7531
NGC1365          bar    7257  1.000000  1.000000  8.933501  9.210526  0.00664735  157.7401   16.9396   23.8948   35.9178       NaN       NaN   23.7199   16.6290
NGC1365          bar    7258  1.000000  1.000000  7.262241  6.921522  0.00820798  194.1099   17.1495   24.8749   28.1250       NaN       NaN   54.2149   16.8794
NGC1365          bar    7259  1.000000  1.000000  5.597390  5.560988  0.01076842  236.1070   29.6049   44.1502   46.2491       NaN       NaN   64.6210   29.5381
NGC1365          bar    7260  1.000000  1.000000  3.947068  3.808563  0.01714000  320.0062  104.3978  160.0358   91.5163       NaN       NaN  402.5005  104.5323
NGC1365          bar    7264  1.000000  1.000000  3.025390  2.752200  0.02740155  536.6346   68.1112  106.0283  127.1796       NaN       NaN   38.3933   68.2303
NGC1365          bar    7265  1.000000  1.000000  4.657385  4.685146  0.00645532  297.8091   20.5959   31.2004   45.7051       NaN       NaN   21.8681   20.7696
NGC1365          bar    7266  1.000000  1.000000  6.315649  6.487757  0.00117712  216.8620   13.2824   19.5723   32.6910       NaN       NaN   13.0191   13.3281
NGC1365          bar    7267  1.000000  1.000000  7.983830  8.098853  0.00565101  176.2423   11.5126   16.4988   27.8707       NaN       NaN   15.1342   11.4548
NGC1365          bar    7268  1.000000  1.000000  9.656790  9.357693  0.00614437  146.2059    7.3164   10.1967   17.4213       NaN       NaN   11.6023    7.3120
NGC1365          bar    7269  1.000000  1.000000 11.332413 11.496736  0.00420340  121.8496    7.7043   10.4413   18.0429       NaN       NaN    9.8028    7.9157
NGC1365          bar    7360  1.000000  1.000000 11.332413 11.728633  0.00397046  124.6548    6.4158    8.6950   15.0252       NaN       NaN   12.4467    6.0739
NGC1365          bar    7361  1.000000  1.000000  9.656790  5.263771  0.00620277  149.3373    4.0853    5.6936       NaN       NaN       NaN       NaN    3.8047
NGC1365          bar    7362  1.000000  1.000000  7.983830  7.767491  0.00623789  180.0372    6.8932    9.8787   14.9482       NaN       NaN   22.4125    7.0940
NGC1365          bar    7363  1.000000  1.000000  6.315649  6.600050  0.00265043  214.7585    6.6825    9.8470   13.9436       NaN       NaN   25.8893    6.8386
NGC1365          bar    7364  1.000000  1.000000  4.657385  4.641625  0.01216551  281.5940   12.5497   19.0114   18.2407       NaN       NaN   82.0564   12.4623
NGC1365          bar    7365  1.000000  1.000000  3.025390  2.822538  0.05214916  665.2488   64.0229   99.6640  105.1305       NaN       NaN   57.3649   63.8412
NGC1365          bar    7369  1.000000  1.000000  3.947068  4.117971  0.03274070  418.0284  115.4445  176.9698  119.5701       NaN       NaN  238.9928  115.9285
NGC1365          bar    7370  1.000000  1.000000  5.597390  5.533294  0.00863752  248.5654   65.0976   97.0811   63.8066       NaN       NaN  277.3295   65.2864
