#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC0628     interarm    1458      -NaN  1.000000  8.909557      -NaN  0.00198680   14.1971    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm    1489      -NaN  1.003757  8.596010      -NaN  0.00251472   16.4861    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC1097     interarm     607  1.000000      -NaN 11.991226 12.024729  0.00073102   25.1981   -0.3993   -0.3449       NaN       NaN       NaN       NaN    0.2774
NGC1097     interarm     608  1.000000      -NaN 11.622270 11.892340  0.00071718   28.5932    0.9136    0.8042       NaN       NaN       NaN       NaN    0.9439
NGC1097     interarm     610  1.003921      -NaN 11.219129 11.664074  0.00099773   33.6165    2.4999    2.2467       NaN       NaN       NaN       NaN    1.4758
NGC1097     interarm     670  1.000000      -NaN  9.237386  8.682739  0.00131865   34.0626    2.0203    2.0107       NaN       NaN       NaN       NaN    1.7677
NGC1097     interarm     671  1.000000      -NaN  9.020648 88.392094  0.00174457   41.3926    1.8865    1.8987       NaN       NaN       NaN       NaN    2.1323
NGC1097     interarm     672  1.000000      -NaN  8.952858  8.670751  0.00179130   43.2682    2.7287    2.7559       NaN       NaN       NaN       NaN    2.6519
NGC1097     interarm     673  1.000000      -NaN  9.037369  8.875501  0.00216801   43.3696    2.9558    2.9723       NaN       NaN       NaN       NaN    2.9083
NGC1097     interarm     676  1.000000      -NaN 10.132514  9.476318  0.00160128   30.8339    1.8392    1.7481       NaN       NaN       NaN       NaN    2.0115
NGC1097     interarm     730  1.000000      -NaN  8.327055  7.769239  0.00129197   25.0645    1.2025    1.2542       NaN       NaN       NaN       NaN    1.3634
NGC1097     interarm     739  0.854558      -NaN  8.747639  8.886730  0.00134554   25.5155    1.8156    1.8532       NaN       NaN       NaN       NaN    1.5140
NGC1097     interarm     791  1.000000      -NaN  7.813280  7.217607  0.00089460   19.8392    0.1697    0.1817       NaN       NaN       NaN       NaN   -0.2554
NGC1097     interarm     795  0.843612      -NaN  4.796490  4.790185  0.00380473  161.9334    4.6019    5.7572   10.2773   17.0964       NaN    5.2689    4.7965
NGC1097     interarm     800  1.000000      -NaN  6.089144  6.042605  0.00363171   75.9660    3.4950    4.0908    7.5029   18.0329       NaN    3.7197    3.1726
NGC1097     interarm     802  1.000000      -NaN  7.866238  8.187310  0.00134817   22.1937    0.9812    1.0480       NaN       NaN       NaN       NaN    0.9704
NGC1097     interarm     856  1.021018      -NaN  3.906640  4.269335  0.00496990  154.8210    3.4332    4.4965       NaN       NaN       NaN       NaN    3.4947
NGC1097     interarm     862  0.863912      -NaN  4.426790  4.337516  0.00519151  115.6786    4.5663    5.8224       NaN       NaN       NaN       NaN    4.4693
NGC1097     interarm     926  0.831529      -NaN  5.851051  5.694532  0.00225415   41.4471    2.5638    3.0379       NaN       NaN       NaN       NaN    2.5246
NGC1097     interarm     976  1.000000      -NaN  8.789875  8.599659  0.00222699   34.4907    0.0000    0.0000    0.0000    0.0000       NaN    7.9283    0.0000
NGC1097     interarm     978  1.000000      -NaN  6.553749  6.232983  0.00168448   38.0645    1.0487    1.1985       NaN       NaN       NaN       NaN    1.2631
NGC1097     interarm     979  1.000000      -NaN  5.468515  5.464755  0.00259156   63.7539    1.9273    2.3292    4.2167    7.5075       NaN    5.7890    1.7435
NGC1097     interarm     980  0.808260      -NaN  4.426790  4.282470  0.00320117  101.6242    3.2112    4.0946    7.2530    9.8840       NaN    8.2555    3.1714
NGC1097     interarm     987  1.017512      -NaN  4.911735  5.077036  0.00340498   68.6104    4.9246    6.1245   10.9594   15.9721       NaN    7.8899    4.9599
NGC1097     interarm     988  1.000000      -NaN  5.977226  5.867238  0.00236335   36.6821    2.3697    2.7897    5.1046    9.9918       NaN    5.0955    2.3736
NGC1097     interarm     989  1.000000      -NaN  7.075881  6.486857  0.00115612   22.2295    2.8192    3.1363       NaN       NaN       NaN       NaN    2.5016
NGC1097     interarm    1038  1.000000      -NaN  9.880934  9.733665  0.00233652   38.5700    0.0000    0.0000    0.0000    0.0000       NaN   10.1236    0.0000
NGC1097     interarm    1039  1.000000      -NaN  8.853581  8.987624  0.00183040   34.7528    3.3412    3.3918    6.5913   17.5345       NaN    3.6864    3.0768
NGC1097     interarm    1040  1.000000      -NaN  7.866238  7.951003  0.00128543   32.2374    1.2534    1.3387    2.5484    4.3059       NaN    7.1002    1.6258
NGC1097     interarm    1041  1.000000      -NaN  6.936014  7.269457  0.00166010   40.1520    0.4646    0.5206       NaN       NaN       NaN       NaN    0.8438
NGC1097     interarm    1042  1.000000      -NaN  6.089144  6.132836  0.00237554   65.3396    1.0615    1.2424    2.2787    6.9999       NaN    2.5758    1.2468
NGC1097     interarm    1047  0.841571      -NaN  4.796490  4.909842  0.00457401  157.9095    7.6877    9.6177   17.1688   18.3273       NaN   10.9219    7.6828
NGC1097     interarm    1048  1.000000      -NaN  5.329953  5.429830  0.00382579   92.8717    7.0258    8.5514   15.4366   19.2577       NaN   10.1402    7.0466
NGC1097     interarm    1049  1.000000      -NaN  6.045599  6.018129  0.00353094   59.5052    5.7281    6.7196   12.1633   11.2100       NaN   20.1674    5.9614
NGC1097     interarm    1050  1.000000      -NaN  6.886865  6.976371  0.00280579   36.5850    3.5333    3.9691       NaN       NaN       NaN       NaN    3.6269
NGC1097     interarm    1051  1.000000      -NaN  7.813280  6.061931  0.00141816   23.9947    1.9766    2.1170       NaN       NaN       NaN       NaN    1.8814
NGC1097     interarm    1101  1.000000      -NaN 10.404022 10.056832  0.00146200   28.1139    0.0000    0.0000    0.0000    0.0000       NaN   14.8951    0.0000
NGC1097     interarm    1102  1.000000      -NaN  9.540075  9.679541  0.00132131   26.1355    2.3774    2.3296    4.5925    5.2675       NaN   14.9705    1.9894
NGC1097     interarm    1103  1.000000      -NaN  8.747639  8.614777  0.00153380   29.8829    0.9491    0.9687       NaN       NaN       NaN       NaN    1.2088
NGC1097     interarm    1104  1.000000      -NaN  8.047865  8.095717  0.00152104   37.4531    1.8606    1.9688    3.7620    5.5288       NaN    9.0364    1.7048
NGC1097     interarm    1108  1.000000      -NaN  6.718908  6.725345  0.00492905  146.5329    9.0037   10.2023   18.7332   15.1128       NaN   20.8648    9.0039
NGC1097     interarm    1109  1.000000      -NaN  6.861820  6.622046  0.00391433   96.5980    6.5434    7.3601   13.7189   12.8237       NaN   18.4749    6.6291
NGC1097     interarm    1110  1.000000      -NaN  7.194736  6.888247  0.00465312   71.4442    8.0741    8.9274   13.6860   11.6496       NaN   38.7662    8.0671
NGC1097     interarm    1111  1.000000      -NaN  7.693026  7.980844  0.00570692   55.9480    8.3281    8.9749   16.1256   14.4308       NaN   25.0224    8.4176
