HRS no HIdef: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
JINGLE4     -0.6120005     -2.7773209      0.1294693      0.1428706      0.1294693      0.2423640
JINGLE5     -0.2399998     -2.6306744      0.1262132      0.1429883      0.1262132      0.2351836
JINGLE10     -0.5979996     -3.1005182      0.1267333      0.1495680      0.1267333      0.1963940
JINGLE11     -0.0819998     -2.3079219      0.2496119      0.1638091      0.2496119      0.3117220
JINGLE15      0.1689997     -2.4609203      0.1124144      0.1505205      0.1124144      0.2140191
JINGLE16     -0.4119997     -2.7584019      0.1356080      0.1700787      0.1356080      0.2305348
JINGLE19     -1.1840000     -3.1707792      0.1123919      0.1591071      0.1123919      0.3868061
JINGLE22     -0.5600004     -2.8336473      0.1294694      0.1498395      0.1294694      0.1783997
JINGLE23     -1.0000000     -2.9941063      0.1294694      0.1433174      0.1294694      0.2187887
JINGLE25     -0.7600002     -2.8787746      0.1294693      0.1415866      0.1294693      0.1571882
JINGLE26     -0.2570000     -2.6354437      0.1294694      0.1455001      0.1294694      0.1684873
JINGLE28     -0.2570000     -2.4808397      0.1294694      0.1589443      0.1294694      0.3224739
JINGLE33     -0.2190008     -2.7059226      0.1124458      0.1296875      0.1124458      0.1440633
JINGLE34     -0.1320000     -2.2782516      0.1294694      0.1546734      0.1294694      0.2789181
JINGLE36     -0.6079998     -2.6383119      0.1128279      0.1610019      0.1128279      0.2207965
JINGLE40     -0.4600000     -2.7848496      0.1242268      0.1441586      0.1242268      0.1782572
JINGLE41     -0.9600000     -2.9964705      0.1294694      0.1382742      0.1294694      0.1466464
JINGLE43     -0.1500006     -2.5667858      0.1294694      0.1314869      0.1294694      0.1410595
JINGLE44     -0.5299997     -2.8202353      0.1294694      0.1498422      0.1294694      0.2432633
JINGLE45     -0.7399998     -2.8466473      0.1294693      0.1463447      0.1294693      0.1744025
JINGLE47     -1.1030006     -3.0699339      0.1123919      0.1360011      0.1123919      0.1522973
JINGLE49     -1.2209997     -2.8505936      0.1126634      0.1415638      0.1126634      0.1745379
JINGLE51     -0.2300005     -2.6427164      0.1242268      0.1380650      0.1242268      0.1556807
JINGLE56     -0.8699999     -3.1611176      0.1294694      0.1369854      0.1294694      0.1762526
JINGLE58     -0.5100002     -2.9382582      0.1356080      0.2026746      0.1356080      0.3637714
JINGLE60     -0.0099993     -2.0602694      0.1125361      0.1822475      0.1125361      0.4217917
JINGLE64     -0.0850000     -2.1060972      0.1129242      0.1721252      0.1129242      0.3049141
JINGLE66     -0.3099995     -2.8041525      0.1242268      0.1483250      0.1242268      0.1930157
JINGLE70     -1.1760006     -3.0096416      0.1127410      0.1495114      0.1127410      0.2003134
JINGLE71      0.1530008     -2.3282938      0.1242268      0.1534416      0.1242268      0.1855425
JINGLE72     -0.8190002     -2.2785053      0.1140379      0.1322587      0.1140379      0.1399832
JINGLE74      0.0629997     -2.0764427      0.1294694      0.1574293      0.1294694      0.2128396
JINGLE76     -1.0000000     -3.2861547      0.1123919      0.1364029      0.1123919      0.1352461
JINGLE77     -0.1000004     -2.5390511      0.1242268      0.1337271      0.1242268      0.1694187
JINGLE81     -1.6719999     -2.9549747      0.1160315      0.1475050      0.1160315      0.1915103
JINGLE82      0.2130003     -2.2777929      0.1294694      0.1889600      0.1294694      0.2981838
JINGLE84     -0.7900000     -2.8746219      0.1294694      0.1502555      0.1294694      0.2360906
JINGLE85     -0.5820007     -2.8274403      0.1425964      0.1600276      0.1425964      0.2100161
JINGLE86     -0.5000000     -2.8517308      0.1242268      0.1459023      0.1242268      0.1910693
JINGLE89     -0.5489998     -2.6563425      0.1126634      0.1383437      0.1126634      0.1892416
JINGLE90     -0.0220003     -2.1252146      0.1242268      0.1620273      0.1242268      0.2477395
JINGLE99     -0.1399994     -2.5871572      0.1242268      0.1458323      0.1242268      0.1846987
JINGLE100     -0.2130003     -2.3361979      0.1124458      0.1409575      0.1124458      0.1573926
JINGLE101     -0.5200005     -2.4352074      0.1242268      0.1314667      0.1242268      0.1454575
JINGLE102      0.4080000     -2.1968145      0.1242268      0.1422616      0.1242268      0.1710545
JINGLE106     -1.1970005     -2.9284363      0.1129242      0.1482998      0.1129242      0.2048939
JINGLE108      0.0930004     -2.2440214      0.1242268      0.1377763      0.1242268      0.1636086
